Date,Number of Deaths
5/22/2017,6
5/23/2017,4
5/24/2017,3
5/25/2017,1
5/26/2017,3
5/27/2017,3
5/28/2017,1
5/29/2017,8
5/30/2017,1
5/31/2017,2
6/1/2017,4
6/2/2017,8
6/3/2017,1
6/4/2017,3
6/5/2017,3
6/6/2017,4
6/7/2017,2
6/8/2017,3
6/9/2017,4
6/10/2017,5
6/11/2017,1
6/12/2017,2
6/13/2017,5
6/14/2017,2
6/15/2017,1
6/16/2017,1
6/17/2017,3
6/18/2017,8
6/19/2017,2
6/20/2017,3
6/21/2017,4
6/22/2017,2
6/23/2017,3
6/24/2017,1
6/25/2017,2
6/26/2017,2
6/28/2017,3
6/29/2017,4
6/30/2017,5
